"workid","subjectid"
"OL16942441W","426"
"OL16942441W","1024"
"OL16942441W","430"
"OL16942441W","133"
"OL16942441W","1023"
"OL16957106W","430"
"OL16957106W","1951"
"OL16957106W","1023"
"OL16957106W","426"
"OL16957106W","133"
"OL16957106W","438"
"OL16969297W","1024"
"OL16969297W","430"
"OL16969297W","1023"
"OL16969297W","546"
"OL16969297W","426"
"OL16969297W","133"
"OL16969297W","438"
"OL2660844W","1590"
"OL2660844W","133"
"OL3505157W","133"
"OL3505157W","1091"
"OL3940910W","1550"
"OL3940910W","1497"
"OL3940910W","133"
"OL4230065W","133"
"OL4230065W","540"
"OL4230065W","557"
"OL4230065W","1275"
"OL4230065W","2012"
"OL5013735W","70"
"OL5013735W","133"
"OL5013735W","1304"
"OL5754414W","133"
"OL5754414W","479"
"OL5754414W","500"
"OL5754414W","571"
"OL5754414W","1822"
"OL5754414W","1824"
"OL7037591W","133"
"OL7037591W","479"
"OL7037591W","2151"
"OL10928099W","133"
"OL10928099W","429"
"OL11210162W","479"
"OL11210162W","133"
"OL11562386W","1143"
"OL11562386W","610"
"OL11562386W","1678"
"OL11562386W","1558"
"OL11562386W","755"
"OL11562386W","1573"
"OL11562386W","1721"
"OL13437921W","479"
"OL13437921W","133"
"OL13437921W","2090"
"OL13450360W","540"
"OL13450360W","114"
"OL13450360W","133"
"OL13450360W","531"
"OL16993231W","1024"
"OL16993231W","430"
"OL16993231W","1951"
"OL16993231W","1023"
"OL16993231W","426"
"OL16993231W","133"
"OL16993231W","438"
"OL17885708W","419"
"OL17885708W","781"
"OL17885708W","895"
"OL17885708W","794"
"OL17885708W","327"
"OL17885708W","1832"
